Well,Position,Gene,Group,TecRep,BioRep,Cq
232,J16,mrf,ko,2,8,27.12739345
233,J17,tnnc1c,control,2,1,29.02491886
234,J18,tnnc1c,ko,2,1,28.18485513
235,J19,tnnc1c,control,2,2,29.90191511
236,J20,tnnc1c,ko,2,2,28.25765001
237,J21,tnnc1c,control,2,3,29.87329042
238,J22,tnnc1c,ko,2,3,28.23928443
239,J23,tnnc1c,control,2,4,29.25318325
240,J24,tnnc1c,ko,2,4,28.1132033
241,K1,ckm,control,1,1,28.74638295
242,K2,ckm,ko,1,1,28.75638376
243,K3,ckm,control,1,2,29.12997144
244,K4,ckm,ko,1,2,29.92202514
245,K5,ckm,control,1,3,28.72398744
246,K6,ckm,ko,1,3,28.23454725
247,K7,ckm,control,1,4,28.06516961
248,K8,ckm,ko,1,4,28.5025101
249,K9,ckm,control,1,5,27.52949229
250,K10,ckm,ko,1,5,27.24265426
251,K11,ckm,control,1,6,28.29379004
252,K12,ckm,ko,1,6,28.44528275
253,K13,ckm,control,1,7,28.11280288
254,K14,ckm,ko,1,7,28.92202514
255,K15,ckm,control,1,8,29.28241561
256,K16,ckm,ko,1,8,29.28888495
257,K17,tnnc1c,control,1,5,29.4735318
258,K18,tnnc1c,ko,1,5,28.83886521
259,K19,tnnc1c,control,1,6,29.2577118
260,K20,tnnc1c,ko,1,6,28.32186243
261,K21,tnnc1c,control,1,7,29.94410918
262,K22,tnnc1c,ko,1,7,28.3530482
263,K23,tnnc1c,control,1,8,29.28785273
264,K24,tnnc1c,ko,1,8,28.36390868
265,L1,ckm,control,2,1,28.78346373
266,L2,ckm,ko,2,1,28.12897144
267,L3,ckm,control,2,2,29.13494242
268,L4,ckm,ko,2,2,29.21297645
269,L5,ckm,control,2,3,28.29843751
270,L6,ckm,ko,2,3,28.49284756
271,L7,ckm,control,2,4,28.48854751
272,L8,ckm,ko,2,4,28.13041993
273,L9,ckm,control,2,5,27.74628642
274,L10,ckm,ko,2,5,27.92202514
275,L11,ckm,control,2,6,28.24285428
276,L12,ckm,ko,2,6,28.52406281
277,L13,ckm,control,2,7,28.27662254
278,L14,ckm,ko,2,7,28.21287645
279,L15,ckm,control,2,8,29.44528275
280,L16,ckm,ko,2,8,29.21287645
281,L17,tnnc1c,control,2,5,29.70235898
282,L18,tnnc1c,ko,2,5,28.84021476
283,L19,tnnc1c,control,2,6,29.87571839
284,L20,tnnc1c,ko,2,6,28.31016339
285,L21,tnnc1c,control,2,7,29.53247314
286,L22,tnnc1c,ko,2,7,28.13538379
287,L23,tnnc1c,control,2,8,29.61377691
288,L24,tnnc1c,ko,2,8,28.29502105
289,M1,tpm1,control,1,1,28.53620502
290,M2,tpm1,ko,1,1,27.91997144
291,M3,tpm1,control,1,2,27.17573659
292,M4,tpm1,ko,1,2,27.81114959
293,M5,tpm1,control,1,3,27.51950452
294,M6,tpm1,ko,1,3,27.37583756
295,M7,tpm1,control,1,4,28.24285431
296,M8,tpm1,ko,1,4,27.96067504
297,M9,tpm1,control,1,5,27.37192271
298,M10,tpm1,ko,1,5,27.46853211
299,M11,tpm1,control,1,6,28.02741135
300,M12,tpm1,ko,1,6,27.65203705
301,M13,tpm1,control,1,7,28.31163127
302,M14,tpm1,ko,1,7,27.11937003
303,M15,tpm1,control,1,8,29.32644734
304,M16,tpm1,ko,1,8,27.25214813
305,M17,ckb,control,1,1,30.01229343
306,M18,ckb,ko,1,1,29.49874836
307,M19,ckb,control,1,2,31.33005829
308,M20,ckb,ko,1,2,29.3006175
309,M21,ckb,control,1,3,30.52406311
310,M22,ckb,ko,1,3,29.0134822
311,M23,ckb,control,1,4,30.56656409
312,M24,ckb,ko,1,4,29.48973181
313,N1,tpm1,control,2,1,28.19286432
314,N2,tpm1,ko,2,1,27.9422009
315,N3,tpm1,control,2,2,27.84532275
316,N4,tpm1,ko,2,2,27.11950452
317,N5,tpm1,control,2,3,27.02949229
318,N6,tpm1,ko,2,3,27.87594857
319,N7,tpm1,control,2,4,28.30004425
320,N8,tpm1,ko,2,4,27.21114959
321,N9,tpm1,control,2,5,28.36067504
322,N10,tpm1,ko,2,5,27.44532275
323,N11,tpm1,control,2,6,28.32903137
324,N12,tpm1,ko,2,6,27.92949229
325,N13,tpm1,control,2,7,28.6326986
326,N14,tpm1,ko,2,7,27.31919083
327,N15,tpm1,control,2,8,28.44532275
328,N16,tpm1,ko,2,8,27.31114959
329,N17,ckb,control,2,1,30.30058582
330,N18,ckb,ko,2,1,29.87023526
331,N19,ckb,control,2,2,31.67598426
332,N20,ckb,ko,2,2,29.19555562
333,N21,ckb,control,2,3,30.31660296
334,N22,ckb,ko,2,3,29.41127524
335,N23,ckb,control,2,4,30.23988096
336,N24,ckb,ko,2,4,29.08924913
337,O1,myom2,control,1,1,29.14424577
338,O2,myom2,ko,1,1,28.75392785
339,O3,myom2,control,1,2,29.11485794
340,O4,myom2,ko,1,2,28.84756379
341,O5,myom2,control,1,3,29.2272583
342,O6,myom2,ko,1,3,28.23594876
343,O7,myom2,control,1,4,29.43263555
344,O8,myom2,ko,1,4,28.99480981
345,O9,myom2,control,1,5,29.09905447
346,O10,myom2,ko,1,5,28.8707301
347,O11,myom2,control,1,6,29.56557445
348,O12,myom2,ko,1,6,28.55195635
349,O13,myom2,control,1,7,29.21921075
350,O14,myom2,ko,1,7,28.11769043
351,O15,myom2,control,1,8,29.24583197
352,O16,myom2,ko,1,8,28.74532275
353,O17,ckb,control,1,5,30.98677389
354,O18,ckb,ko,1,5,29.18307885
355,O19,ckb,control,1,6,31.11997144
