assay,Crbn Regulatory sequences,Embryo number,Intensity,Relative intensity to 455bp Regulatory sequence Mean
Assay 3,455bp Mrf Mut,32,0,0
Assay 3,455bp Mrf Mut,33,0,0
Assay 3,455bp Mrf Mut,34,0,0
Assay 3,455bp Mrf Mut,35,0,0
Assay 3,455bp Mrf Mut,36,0,0
Assay 3,455bp Mrf Mut,37,0,0
Assay 3,455bp Mrf Mut,38,0,0
Assay 3,455bp Mrf Mut,39,0,0
Assay 3,455bp Mrf Mut,40,0,0
Assay 3,455bp Mrf Mut,41,0,0
Assay 3,455bp Mrf Mut,42,0,0
Assay 3,455bp Mrf Mut,43,0,0
Assay 3,455bp Mrf Mut,44,0,0
Assay 3,455bp Mrf Mut,45,0,0
Assay 3,455bp Mrf Mut,46,0,0
Assay 3,455bp Mrf Mut,47,0,0
Assay 3,455bp Mrf Mut,48,0,0
Assay 3,455bp Mrf Mut,49,0,0
Assay 3,455bp Mrf Mut,50,0,0
Assay 3,455bp Mrf Mut,51,0,0
Assay 3,455bp Mrf Mut,52,0,0
Assay 1,410bp,1,1190000,0.159379379
Assay 1,410bp,2,10700000,1.433075084
Assay 1,410bp,3,0,0
Assay 1,410bp,4,0,0
Assay 1,410bp,5,4650000,0.622784967
Assay 1,410bp,6,0,0
Assay 1,410bp,7,5470000,0.732609412
Assay 1,410bp,8,1.30E+07,1.741119262
Assay 1,410bp,9,21500000,2.879543394
Assay 1,410bp,10,9970000,1.335304541
Assay 1,410bp,11,1290000,0.172772604
Assay 1,410bp,12,2850000,0.381706915
Assay 1,410bp,13,21300000,2.852756944
Assay 1,410bp,14,18700000,2.504533092
Assay 1,410bp,15,5040000,0.675018544
Assay 1,410bp,16,4310000,0.577248001
Assay 1,410bp,17,6030000,0.807611473
Assay 1,410bp,18,24600000,3.294733372
Assay 1,410bp,19,0,0
Assay 1,410bp,20,2360000,0.316080112
Assay 1,410bp,21,64900000,8.692203083
Assay 1,410bp,22,0,0
Assay 1,410bp,23,7570000,1.013867139
Assay 1,410bp,24,23100000,3.093834995
Assay 1,410bp,25,0,0
Assay 1,410bp,26,5160000,0.691090415
Assay 1,410bp,27,39700000,5.31711036
Assay 1,410bp,28,16500000,2.20988214
Assay 1,410bp,29,2.40E+07,3.214374021
Assay 1,410bp,30,9280000,1.242891288
Assay 1,410bp,31,1530000,0.204916344
Assay 1,410bp,32,7990000,1.070118685
Assay 1,410bp,33,2770000,0.370992335
Assay 1,410bp,34,15100000,2.022376988
Assay 1,410bp,35,0,0
Assay 1,410bp,36,2450000,0.328134015
Assay 1,410bp,37,22600000,3.02686887
Assay 1,410bp,38,0,0
Assay 1,410bp,39,14300000,1.915231188
Assay 1,410bp,40,1900000,0.254471277
Assay 1,410bp,41,0,0
Assay 1,410bp,42,25200000,3.375092722
Assay 1,410bp,43,0,0
Assay 1,410bp,44,1580000,0.211612956
Assay 1,410bp,45,1680000,0.225006181
Assay 1,410bp,46,1.50E+07,2.008983763
Assay 1,410bp,47,40100000,5.370683261
Assay 1,410bp,48,0,0
Assay 1,410bp,49,16800000,2.250061815
Assay 1,410bp,50,15400000,2.062556664
Assay 1,410bp,51,5050000,0.676357867
Assay 1,410bp,52,2560000,0.342866562
Assay 2,410bp,1,10200000,0.987989151
Assay 2,410bp,2,0,0
Assay 2,410bp,3,9230000,0.89403332
Assay 2,410bp,4,1.90E+07,1.840371949
Assay 2,410bp,5,0,0
Assay 2,410bp,6,1880000,0.182099961
Assay 2,410bp,7,7720000,0.747772181
Assay 2,410bp,8,9740000,0.943432778
Assay 2,410bp,9,35400000,3.428903526
Assay 2,410bp,10,2890000,0.27993026
Assay 2,410bp,11,16300000,1.578845409
Assay 2,410bp,12,0,0
Assay 2,410bp,13,0,0
Assay 2,410bp,14,20500000,1.985664471
Assay 2,410bp,15,19100000,1.850058117
Assay 2,410bp,16,31200000,3.022084463
Assay 2,410bp,17,3690000,0.357419605
Assay 2,410bp,18,33200000,3.215807826
Assay 2,410bp,19,1080000,0.104610616
Assay 2,410bp,20,9430000,0.913405657
Assay 2,410bp,21,2980000,0.288647811
Assay 2,410bp,22,0,0
Assay 2,410bp,23,1280000,0.123982952
Assay 2,410bp,24,16200000,1.569159241
Assay 2,410bp,25,0,0
Assay 2,410bp,26,2290000,0.221813251
Assay 2,410bp,27,38500000,3.729174738
Assay 2,410bp,28,8520000,0.825261527
Assay 2,410bp,29,4950000,0.479465324
Assay 2,410bp,30,6150000,0.595699341
Assay 2,410bp,31,0,0
Assay 2,410bp,32,0,0
Assay 2,410bp,33,0,0
Assay 2,410bp,34,1.20E+07,1.162340178
Assay 2,410bp,35,11100000,1.075164665
Assay 2,410bp,36,0,0
Assay 2,410bp,37,1170000,0.113328167
Assay 2,410bp,38,0,0
Assay 2,410bp,39,1820000,0.17628826
Assay 2,410bp,40,23800000,2.30530802
Assay 2,410bp,41,0,0
Assay 2,410bp,42,0,0
Assay 2,410bp,43,2930000,0.283804727
Assay 2,410bp,44,6520000,0.631538164
Assay 2,410bp,45,9800000,0.949244479
Assay 2,410bp,46,3500000,0.339015885
Assay 2,410bp,47,4980000,0.482371174
Assay 2,410bp,48,2630000,0.254746222
Assay 2,410bp,49,8490000,0.822355676
Assay 2,410bp,50,59500000,5.76327005
Assay 2,410bp,51,15100000,1.462611391
Assay 2,410bp,52,20500000,1.985664471
Assay 3,410bp,1,7450000,0.528980826
Assay 3,410bp,2,22500000,1.597593099
Assay 3,410bp,3,20200000,1.434283582
Assay 3,410bp,4,5340000,0.379162095
Assay 3,410bp,5,32900000,2.336036131
Assay 3,410bp,6,7080000,0.502709295
Assay 3,410bp,7,5070000,0.359990978
Assay 3,410bp,8,23100000,1.640195582
Assay 3,410bp,9,49800000,3.536006059
Assay 3,410bp,10,49500000,3.514704818
Assay 3,410bp,11,0,0
Assay 3,410bp,12,14200000,1.008258756
Assay 3,410bp,13,8470000,0.601405047
Assay 3,410bp,14,1.70E+07,1.207070341
Assay 3,410bp,15,4520000,0.320938703
Assay 3,410bp,16,1580000,0.112186538
Assay 3,410bp,17,4450000,0.315968413
Assay 3,410bp,18,31300000,2.222429511
Assay 3,410bp,19,0,0
Assay 3,410bp,20,6410000,0.455136523
Assay 3,410bp,21,10900000,0.773945101
Assay 3,410bp,22,0,0
Assay 3,410bp,23,0,0
Assay 3,410bp,24,12100000,0.859150067
Assay 3,410bp,25,50500000,3.585708955
Assay 3,410bp,26,12200000,0.86625048
Assay 3,410bp,27,15200000,1.079262894
Assay 3,410bp,28,42600000,3.024776267
Assay 3,410bp,29,26300000,1.867408822
Assay 3,410bp,30,11300000,0.802346756
Assay 3,410bp,31,6540000,0.464367061
Assay 3,410bp,32,2920000,0.207332082
Assay 3,410bp,33,19500000,1.384580686
Assay 3,410bp,34,5380000,0.382002261
Assay 3,410bp,35,4100000,0.291116965
Assay 3,410bp,36,13800000,0.979857101
Assay 3,410bp,37,8700000,0.617735998
Assay 3,410bp,38,11400000,0.80944717
Assay 3,410bp,39,9310000,0.661048522
Assay 3,410bp,40,13800000,0.979857101
Assay 3,410bp,41,49700000,3.528905645
Assay 3,410bp,42,15500000,1.100564135
Assay 3,410bp,43,2870000,0.203781875
Assay 3,410bp,44,3070000,0.217982703
Assay 3,410bp,45,2.50E+07,1.775103443
Assay 3,410bp,46,3.10E+07,2.20112827
Assay 3,410bp,47,5130000,0.364251227
Assay 3,410bp,48,43100000,3.060278336
Assay 3,410bp,49,22700000,1.611793927
Assay 3,410bp,50,19200000,1.363279444
Assay 3,410bp,51,56200000,3.990432541
Assay 3,410bp,52,27900000,1.981015443
Assay 1,314bp,1,13500000,1.808085387
Assay 1,314bp,2,0,0
Assay 1,314bp,3,4020000,0.538407649
Assay 1,314bp,4,0,0
Assay 1,314bp,5,0,0
Assay 1,314bp,6,24600000,3.294733372
Assay 1,314bp,7,2420000,0.324116047
Assay 1,314bp,8,324000,0.043394049
Assay 1,314bp,9,10800000,1.44646831
Assay 1,314bp,10,9350000,1.252266546
Assay 1,314bp,11,0,0
Assay 1,314bp,12,27700000,3.70992335
Assay 1,314bp,13,19200000,2.571499217
Assay 1,314bp,14,0,0
Assay 1,314bp,15,0,0
Assay 1,314bp,16,8200000,1.098244457
Assay 1,314bp,17,54400000,7.285914448
Assay 1,314bp,18,0,0
Assay 1,314bp,19,13100000,1.754512487
Assay 1,314bp,20,0,0
Assay 1,314bp,21,1780000,0.238399407
Assay 1,314bp,22,11800000,1.58040056
Assay 1,314bp,23,6140000,0.82234402
Assay 1,314bp,24,12300000,1.647366686
Assay 1,314bp,25,7230000,0.968330174
Assay 1,314bp,26,0,0
Assay 1,314bp,27,5190000,0.695108382
Assay 1,314bp,28,8490000,1.13708481
Assay 1,314bp,29,7540000,1.009849172
Assay 1,314bp,30,0,0
Assay 1,314bp,31,0,0
Assay 1,314bp,32,0,0
Assay 1,314bp,33,34900000,4.674235556
Assay 1,314bp,34,13100000,1.754512487
Assay 1,314bp,35,18600000,2.491139866
Assay 1,314bp,36,472000,0.063216022
Assay 1,314bp,37,62800000,8.410945356
Assay 1,314bp,38,32400000,4.339404929
Assay 1,314bp,39,19200000,2.571499217
Assay 1,314bp,40,26700000,3.575991099
Assay 1,314bp,41,1730000,0.231702794
Assay 1,314bp,42,0,0
Assay 1,314bp,43,0,0
Assay 1,314bp,44,0,0
Assay 1,314bp,45,11500000,1.540220885
Assay 1,314bp,46,0,0
Assay 1,314bp,47,2200000,0.294650952
Assay 1,314bp,48,1910000,0.255810599
Assay 1,314bp,49,0,0
Assay 1,314bp,50,5920000,0.792878925
Assay 1,314bp,51,0,0
Assay 2,314bp,1,28700000,2.77993026
Assay 2,314bp,2,47400000,4.591243704
Assay 2,314bp,3,554000,0.053661372
Assay 2,314bp,4,31900000,3.08988764
Assay 2,314bp,5,10500000,1.017047656
Assay 2,314bp,6,836000,0.080976366
Assay 2,314bp,7,27900000,2.702440914
Assay 2,314bp,8,71900000,6.964354901
Assay 2,314bp,9,8170000,0.791359938
Assay 2,314bp,10,688000,0.066640837
Assay 2,314bp,11,0,0
Assay 2,314bp,12,20500000,1.985664471
Assay 2,314bp,13,9540000,0.924060442
Assay 2,314bp,14,3810000,0.369043007
Assay 2,314bp,15,25900000,2.508717551
Assay 2,314bp,16,5.80E+07,5.617977528
Assay 2,314bp,17,8380000,0.811700891
Assay 2,314bp,18,0,0
Assay 2,314bp,19,1290000,0.124951569
Assay 2,314bp,20,2.70E+07,2.615265401
Assay 2,314bp,21,32200000,3.118946145
Assay 2,314bp,22,25800000,2.499031383
Assay 2,314bp,23,38800000,3.758233243
Assay 2,314bp,24,2.00E+07,1.93723363
Assay 2,314bp,25,0,0
Assay 2,314bp,26,0,0
Assay 2,314bp,27,0,0
Assay 2,314bp,28,2.10E+07,2.034095312
Assay 2,314bp,29,1.00E+07,0.968616815
Assay 2,314bp,30,42100000,4.077876792
Assay 2,314bp,31,6270000,0.607322743
Assay 2,314bp,32,13600000,1.317318869
Assay 2,314bp,33,22800000,2.208446339
Assay 2,314bp,34,13600000,1.317318869
Assay 2,314bp,35,9580000,0.927934909
Assay 2,314bp,36,1260000,0.122045719
Assay 2,314bp,37,33300000,3.225493995
Assay 2,314bp,38,16500000,1.598217745
Assay 2,314bp,39,3600000,0.348702053
Assay 2,314bp,40,13300000,1.288260364
Assay 2,314bp,41,0,0
Assay 2,314bp,42,1.80E+07,1.743510267
Assay 2,314bp,43,0,0
Assay 2,314bp,44,35200000,3.409531189
Assay 2,314bp,45,22100000,2.140643162
Assay 2,314bp,46,9780000,0.947307245
Assay 2,314bp,47,26200000,2.537776056
Assay 2,314bp,48,3340000,0.323518016
Assay 2,314bp,49,28700000,2.77993026
Assay 2,314bp,50,32300000,3.128632313
Assay 2,314bp,51,0,0
Assay 2,314bp,52,1910000,0.185005812
